Rank,Name,Pop. Density/sq. mi.,Population,Area,Max,Min,Neighbors,,,,,,,
1,San Francisco,3472.5,"805,235",231.9,Max,Marin,4,8,15,,,,,
2,Orange,3175.1,"3,010,232",948.1,Max,San Bern,3,9,16,32,,,,
3,Los Angeles,2066.7,"9,818,605",4750.9,Orange,San Bern,2,13,29,32,,,,
4,Alameda,1838.8,"1,510,271",821.3,San Fran,San Joaq,1,6,7,10,,,,
5,Sacramento,1427.3,"1,418,788",994.0,Max,Amador,7,10,11,18,19,21,31,36
6,Santa Clara,1366.2,"1,781,642",1304.1,Alameda,San Benito,4,8,12,14,24,40,,
7,Contra Costa,1305.1,"1,049,025",803.8,Alameda,Solano,4,5,10,11,,,,
8,San Mateo,969.6,"718,451",741.0,San Fran,Sant Cruz,1,4,6,12,,,,
9,San Diego,683.9,"3,095,313",4526.0,Orange,Imperial,2,16,41,,,,,
10,San Joaquin,480.4,"685,306",1426.5,Alameda,Calaveras,4,5,7,14,36,39,,
11,Solano,456.1,"413,344",906.3,Sac,Napa,5,7,17,19,20,,,
12,Santa Cruz,432.1,"262,382",607.2,Sant Cl,Monterey,6,8,12,27,,,,
13,Ventura,372.8,"823,318",2208.5,Los Ang,Kern,3,26,29,,,,,
14,Stanislaus,339.6,"514,453",1514.9,San Joaq,Merced,10,12,24,,,,,
15,Marin,304.8,"252,409",828.1,San Fran,Sonoma,1,17,,,,,,
16,Riverside,299.8,"2,189,641",7303.7,Orange,San Bern,2,9,16,32,,,,
17,Sonoma,273.7,"483,878",1767.9,Solano,Mendoc,11,20,37,45,,,,
18,Placer,231.9,"348,432",1502.5,Sac,El Dorado,5,21,25,30,31,,,
19,Yolo,196.2,"200,849",1023.7,Sac,Colusa,5,11,20,21,37,48,,
20,Napa,173.1,"136,484",788.5,Solano,Lake,11,17,19,37,,,,
21,Sutter,155.7,"94,737",608.5,Sac,Colusa,5,18,19,23,25,48,,
22,Fresno,154.8,"930,450",6010.7,Max,Inyo,24,27,28,33,35,40,53,57
23,Butte,131.2,"220,000",1676.8,Sutter,Plumas,21,25,46,47,48,50,,
24,Merced,129.3,"255,793",1978.3,Sant Clara,Mariposa,6,14,22,35,40,49,,
25,Yuba,112.1,"72,155",643.7,Placer,Sierra,18,21,23,30,50,55,,
26,Santa Barbara,111.9,"423,895",3788.2,Ventura,SLO,13,29,34,,,,,
27,Monterey,110.1,"415,057",3769.8,Santa Cruz,San Ben,12,22,28,34,40,,,
28,Kings,109.9,"152,982",1392.0,Fresno,Tulare,22,27,29,33,,,,
29,Kern,102.9,"839,631",8159.7,Los Ang,Inyo,8,13,28,32,33,34,57,
30,Nevada,101.4,"98,764",974.0,Placer,Sierra,18,25,55,,,,,
31,El Dorado,101.4,"181,058",1785.6,Sac,Alpine,5,18,36,58,,,,
32,San Bernadino,101.2,"2,035,210",20110.8,Orange,Inyo,2,3,16,29,57,,,
33,Tulare,91.4,"442,179",4837.8,Fresno,Inyo,22,28,29,57,,,,
34,San Luis Obispo,74.6,"269,637",3614.4,Mont,San Ben,27,29,40,,,,,
35,Madera,70.1,"150,865",2152.1,Fresno,Mono,22,24,49,53,,,,
36,Amador,62.9,"38,091",605.6,Sac,Alpine,5,10,31,39,58,,,
37,Lake,48.6,"64,665",1330.6,Sonoma,Colusa,17,19,20,45,47,48,,
38,Shasta,46.1,"177,223",3844.3,Max,Modoc,46,50,51,52,54,56,,
39,Calaveras,44.0,"45,578",1035.9,San Joaq,Alpine,10,14,36,43,58,,,
40,San Benito,39.7,"55,269",1392.2, Sant Cr,Min,12,22,24,27,,,,
41,Imperial,38.9,"174,528",4486.6,San Diego,Min,9,16,,,,,,
42,Humboldt,33.2,"134,623",4054.9,Max,Trinity,44,45,52,54,,,,
43,Tuolumne,24.3,"55,365",2278.4,Stanis,Alpine,14,35,39,49,53,58,,
44,Del Norte,23.3,"28,610",1227.9,Humboldt,Siskiyou,42,52,,,,,,
45,Mendocino,22.7,"87,841",3869.6,Sonoma,Trinity,17,37,42,46,47,54,,
46,Tehama,21.4,"63,463",2965.6,Butte,Trinity,23,28,45,47,50,54,,
47,Glenn,21.2,"28,122",1326.5,Butte,Colusa,23,37,45,46,48,,,
48,Colusa,18.5,"21,419",1157.8,Yolo,Min,19,21,23,37,47,,,
49,Mariposa,12.5,"18,251",1460.1,Merced,Min,24,35,43,,,,,
50,Plumas,7.7,"20,007",2598.3,Butte,Sierra,23,25,38,46,51,55,,
51,Lassen,7.4,"34,895",4715.5,Shasta,Modoc,38,50,55,56,,,,
52,Siskiyou,7.1,"44,900",6323.9,Shasta,Modoc,38,42,44,54,56,,,
53,Mono,4.5,"14,202",3156.0,Fresno,Alpine,22,35,43,57,58,,,
54,Trinity,4.3,"13,786",3206.0,Shasta,Min,38,42,45,46,52,,,
55,Sierra,3.4,"3,240",952.9,Yuba,Min,25,30,50,51,,,,
56,Modoc,2.3,"9,686",4211.3,Shasta,Min,44,51,52,,,,,
57,Inyo,1.8,"18,546",10303.3,Fresno,Min,22,29,33,40,53,,,
58,Alpine,1.6,"1,175",734.4,El Dorado,Min,31,36,39,43,53,,,
,,,,,,,,,,,,,,
